id,title,link,content,gold_label
0,آریان خان نے والد کی سب سے بڑی خوبی بتا دی، انٹرویو وائرل,https://www.express.pk/story/2732283/arian-khan-n-oald-ki-sb-s-bi-khobi-bta-di-anroio-oaerl,بالی ووڈ کے سپر اسٹار شاہ رُخ خان کے بڑے بیٹے آریان خان کا کہنا ہے کہ ان کے والد مارکیٹنگ کے معاملے میں بہت ذہین ہیں۔ شاہ رُخ خان کی بیٹی نے اداکاری جبکہ بیٹے نے کاروبار کی دنیا میں قدم رکھ دیا ہے، آریان خان نے حال ہی میں ایک انٹرویو دیا ہے جس میں انہوں نے اپنے والد کی شمار صلاحیتوں کے بارے میں گفتگو کی۔ آریان خان نے بتایا کہ ان کے والد بزنس میں ان کی بہت رہنمائی کرتے ہیں اور وہ نہ صرف کاروباری صلاحیتوں بلکہ مارکیٹنگ کیلئے بھی بےحد ذہین ہیں۔ آریان خان نے بتایا کہ ان کے بزنس میں والد ی انکی بہت مدد کرتے ہیں یہی وجہ ہے کہ وہ شاہ رُخ کے ساتھ اپنے برانڈز کے مارکیٹگ شوٹس میں بھی موجود ہوتے ہیں۔ A post shared by D'YAVOL X (@dyavol.x) 26 سالہ آریان کا کہنا تھا کہ والد کے ساتھ مل کر لگژری ملبوسات کا برانڈ لانچ کرنے کا ان کا فیصلہ بہترین تھا، آریان نے انکشاف کیا کہ وہ والد کے ساتھ اپنے برانڈ کے مارکیٹنگ آئیڈیاز بھی اس ہی لئے شیئر کرتے ہیں کیونکہ ان کے والد کا فیشن سینس اور مارکیٹنگ کے آئیڈیاز بہت بہترین ہوتے ہیں۔ آریان نے مزید بتایا کہ ان کے والد زندگی کے دیگر معاملات میں بھی ان کی اور انکی بہن کی رہنمائی کرتے ہیں جب وہ کسی مسئلے میں الجھ جاتے ہیں تو وہ ایک قدم پیچھے جانے کو کہتے ہیں تاکہ وہ زیادہ واضح طور مسائل کو سمجھ کر اس کا حل نکال سکیں۔ A post shared by Aryan Khan (@___aryan___) واضح رہے کہ آریان خان نے منشیات کے کیس سے بری ہونے کے بعد آریان نے D’YAVOL لگژری ملبوسات کا بزنس گزشتہ برس شروع کیا تھا۔,entertainment
1,اداکارہ صحیفہ جبار نے تیزی سے اپنا وزن کیسے کم کیا؟,https://www.express.pk/story/2732277/adakara-sahifa-jabbar-ne-taizi-se-apna-wazan-kese-kam-kiya,پاکستان شوبز کی خوبرو اداکارہ و ماڈل صحیفہ جبار خٹک نے اپنی فٹنس کا راز بتا دیا۔ اداکارہ صحیفہ جبار حال ہی میں اداکار و میزبان فیصل قریشی کے پوڈکاسٹ میں شریک ہوئیں جہاں انہوں نے شوبز سمیت اپنی ذاتی زندگی کے بارے میں  کھل کر گفتگو کی۔ فیصل قریشی نے اداکارہ سے سوال کیا کہ وہ فٹنس کیلئے جم جاتی ہیں جس پر صحیفہ نے بتایا کہ وہ ایک عرصے سے جم نہیں جارہی اور اگر وہ جم جوائن بھی کرلیں تو انہیں دکھ ہوتا ہے کہ وہ فیس دے کر 2 دن کے بعد دوبارہ جم نہیں جاسکیں۔ A post shared by Galaxy Lollywood (@galaxylollywood) صحیفہ نے بتایا کہ انکی فٹنس کا راز ہے ڈپریشن، کیونکہ وہ سالوں سے اپنے شوہر سے دور ہیں نہ ان کے شوہر کینیڈا سے پاکستان آسکتے ہیں اور نہ ہی اداکارہ کینیڈا جاسکتی ہیں یہی وجہ ہے کہ وہ ڈپریشن میں رہتی ہیں اور انہوں نے تیزی سے وزن کم کیا ہے۔ اداکارہ نے ڈپریشن کو شوہر سے دوری کی وجہ قرار دیتے ہوئے کہا کہ وہ شوہر سے دور رہنے کی وجہ سے ایک عرصے سے ڈپریشن میں مبتلا ہیں، اداکارہ کا کہنا تھا کہ اگر شوہر اچھا نہ ہو تو دور ہونے میں کوئی غم نہیں مگر میرے شوہر بےحد اچھے ہیں اور ان کے بغیر رہنا میرے لئے بہت مشکل ہے۔ A post shared by Saheefa Jabbar Khattak (@saheefajabbarkhattak) فیصل قریشی نے بھی صحیفہ جبار کی بات سے اتفاق کرتے ہوئے بتایا کہ وہ انکے شوہر سے مل چکے ہیں اور وہ واقعی بہت اچھے انسان ہیں۔ یاد رہے کہ اداکارہ صحیفہ جبار خٹک اپنے سوشل میڈیا اکاؤنٹس پر بھی شوہر کے ساتھ بنائی گئی تصاویر اور ویڈیوز شیئر کرتے ہوئے ان سے اپنی محبت کا اظہار کرتی نظر آتی ہیں۔ صحیفہ جبار ڈرامہ لوگ کیا کہیں گے، بھول، رفتہ رفتہ اور بیٹی میں اداکاری کے جوہر دکھا چکی ہیں جبکہ ان کا ڈرامہ بیٹی ان کیلئے شہرت کی وجہ بنا کافی مقبول رہا۔,entertainment
2,کرائم پٹرول کے نوجوان اداکار کی اچانک موت، بھارتی انڈسٹری میں سوگ کی فضا,https://www.express.pk/story/2732263/crime-petrol-k-adakar-ki-achanak-mout-bharti-industry-mein-sog-ki-fiza,بھارت کے ٹیلی ویژن اداکار نیتن چوہان کی گھر سے لاش برآمد ہوئی ہے۔ بھارتی میڈیا رپورٹ کے مطابق 35 سالہ اداکار نیتن چوہان رئیلیٹی شو ’داداگیری‘ کے دوسرے سیزن کے فاتح، ’ایم ٹی وی اسپلٹز ولا‘ اور ’کرائم پیٹرول‘ میں اداکاری کے لیے مشہور تھے۔ رپورٹ میں بتایا گیا ہے کہ اداکار ممبئی میں اپنے فلیٹ میں مردہ حالت میں پائے گئے ہیں تاہم ان کی موت کی وجہ جاننے کیلئے تفتیش کی جارہی ہے۔ ابتدائی معلومات کے مطابق، ممبئی پولیس نے اس واقعے کو خودکشی کا کیس قرار دیا ہے۔ بتایا گیا ہے کہ اداکار ڈپریشن کا علاج کروا رہے تھے، نیتن کی بیوی نے پولیس کو اپنے بیان میں بتایا کہ انہیں گزشتہ تین سے چار سال سے کوئی کام نہیں مل رہا تھا جسکی وجہ سے وہ شدید ذہنی دباؤ کا شکار تھے۔ نیتن چوہان کی موت کی خبر سن کر ان کے دوستوں اور ساتھیوں نے سوشل میڈیا پر افسوس اور تعزیت کا اظہار کیا ہے۔ A post shared by Viral Bhayani (@viralbhayani) ویبھوٹی ٹھاکر نے انسٹاگرام پر ایک بلیک اینڈ وائٹ تصویر کے ساتھ لکھا، ’میرے عزیز، سکون میں رہو (RIP)، میں واقعی حیرت زدہ اور غمگین ہوں، کاش تم میں تمام مشکلات کا سامنا کرنے کی طاقت ہوتی، کاش تم اپنے جسم کی طرح ذہنی طور پر مضبوط ہوتے‘۔ٹی وی اداکار سدھیپ سہیر نے بھی انسٹاگرام اسٹوری پر نیتن کی تصویر شیئر کرتے ہوئے لکھا، ’سکون میں رہو (RIP)، دوست‘۔ ویبھوٹی اور سدھیپ نے نیتن کے ساتھ ’تیرا یار ہوں میں‘ کام کیا تھا، نتن کو آخری مرتبہ اس ہی ڈرامے میں 2022 میں دیکھا گیا تھا جس کے بعد وہ اسکرین سے اوجھل ہوگئے تھے۔ یاد رہے کہ نیتن کا تعلق اتر پردیش کے علی گڑھ سے تھا۔ انہیں ٹی وی انڈسٹری میں پہلا بریک تھرو 2009 میں رئیلیٹی شو ’داداگیری 2‘ میں کامیابی حاصل کر کے ملا۔ نیتن نے ’ایم ٹی وی اسپلٹز ولا‘ کے پانچویں سیزن سمیت ’زندگی ڈاٹ کام‘ اور ’کرائم پیٹرول‘ جیسے دیگر شوز میں بھی کام کر کے شہرت کمائی۔ اداکار کے انسٹاگرام اکاؤنٹ سے پتہ چلتا ہے کہ وہ فٹنس کے شوقین تھے۔,entertainment
3,دیپیکا کی بیٹی کے ہمراہ پہلی جھلک سوشل میڈیا پر وائرل,https://www.express.pk/story/2732253/deepika-ki-beti-k-hamra-pehli-jhalak-social-media-pr-viral,ممبئی: بالی وڈ کی مشہور جوڑی دیپیکا پڈوکون اور رنویر سنگھ کو پہلی بار اپنی نومولود بیٹی دُعا پاڈوکون سنگھ کے ساتھ عوام کے سامنے دیکھا گیا ہے جس کی ویڈیوز اور تصاویر سوشل میڈیا پر وائرل ہورہی ہیں۔ ایئرپورٹ پر دیپیکا اپنی بیٹی کو پیار سے گود میں اٹھائے ہوئے نظر آئیں، جبکہ رنویر بھی ان کے ساتھ موجود تھے۔ کار میں لی گئی تصویروں میں دیپیکا کو سفید اور بیج رنگ کے لباس میں بیٹی کو محبت سے سینے سے لگائے ہوئے دیکھا گیا، جبکہ رنویر گلابی رنگ کی ہوڈی میں نظر آئے۔ A post shared by Viral Bhayani (@viralbhayani) سیکورٹی چیک کے دوران بھی یہ جوڑی اپنے بچے کے ساتھ محبت بھرے انداز میں کھڑی نظر آئی، جس نے مداحوں کے دل جیت لیے۔ مداحوں کو اداکارہ کو انکی بیٹی کے ساتھ دیکھنے کا بےصبری سے انتظار تھا ان کی جانب سے وائرل ویڈیوز اور تصاویر پر دلچسپ ردِعمل سامنے آرہا ہے۔ سوشل میڈیا پر مداح اپنی پسندیدہ اداکار اور ان کی بیٹی سے محبت اور نیک تمناؤں کا اظہار کر رہے ہیں۔ A post shared by Viral Bhayani (@viralbhayani) واضح رہے کہ دیپیکا اور رنویر نے اپنی بیٹی کا نام دیوالی کے موقع پر بتایا۔ انہوں نے تصویر کے کیپشن میں لکھا: ’دُعا پاڈوکون سنگھ، ’دعا‘کیونکہ وہ ہماری دعاؤں کا جواب ہے۔ ہمارے دل محبت اور شکرگزاری سے بھرے ہیں‘۔ اس سے قبل رنویر نے اپنی نئی فلم ’سنگھم اگین‘ کے ٹریلر لانچ پر یہ بھی بتایا کہ ان کی بیٹی فلم میں اسکرین پر نظر آئے گی۔ انہوں نے مزاحیہ انداز میں کہا، ’اس فلم میں لیڈی سنگھم، بیبی سنگھم، اور سمبا سب ہوں کیونکہ فلم کی شوٹنگ کے دوران دیپیکا پریگنینسی چل رہی تھی‘۔ A post shared by दीपिका पादुकोण (@deepikapadukone) خیال رہے کہ دیپیکا اور رنویر کی پہلی ملاقات 2013 میں سنجے لیلا بھنسالی کی فلم ’گولیوں کی راس لیلا رام لیلا‘ کے دوران ہوئی، جس کے بعد انہوں نے کچھ سال تک ایک دوسرے کو ڈیٹ کیا اور 2018 میں اٹلی میں شادی کی۔,entertainment
4,سدھارتھ ملہوترا ماروتی سوزوکی کی مقبول گاڑی ڈزائر کے برانڈ ایمبیسڈر مقرر,https://www.express.pk/story/2732223/sidharthmalhotra-marutisuzuki-ki-gadi-desire-ke-brand-ambassador-muqarar,"ماروتی سوزوکی انڈیا لمیٹڈ نے اپنی مقبول گاڑی ڈزائر کے چوتھے جنریشن ماڈل کے لیے بالی ووڈ کے معروف اداکار سدھارتھ ملہوترا کو برانڈ ایمبیسڈر مقرر کر دیا ہے۔ اس موقع پر کمپنی نے سدھارتھ کی جھلک پر مشتمل ایک نیا ٹی وی سی بھی جاری کیا ہے جس میں اداکار کا دلکش اور سجیلا انداز مداحوں کو خوب بھایا ہے۔ ماروتی سوزوکی کے سینئر ایگزیکٹو افسر پارتھو بنرجی نے کہا کہ ہندوستان میں تیزی سے بڑھتی ہوئی نوجوان نسل، جنہیں ہم ""تھرائیورز"" کہتے ہیں، کو مدنظر رکھتے ہوئے نئی ڈزائر کو ڈیزائن کیا گیا ہے جو ان کے کامیاب طرز زندگی کے عین مطابق ہے۔ ان کے مطابق سدھارتھ ملہوترا جیسے باصلاحیت اور کامیاب نوجوان کو برانڈ ایمبیسڈر بنانے کا فیصلہ اسی جذبے کی نمائندگی کرتا ہے۔ نئی ڈزائر میں جدید ڈیزائن، انوکھے فیچرز اور بہترین ویلیو شامل ہے، جس سے ماروتی سوزوکی اپنے صارفین کو ایک شاندار تجربہ فراہم کرنے کا عزم رکھتی ہے۔ دوسری طرف، اداکار سدھارتھ ملہوترا کی فلمی مصروفیات بھی جاری ہیں اور رپورٹس کے مطابق وہ سارا علی خان اور سیف علی خان کے ساتھ آنے والی فلموں میں بھی نظر آئیں گے۔",entertainment
5,کرن جوہر کی رومانس کی دنیا میں واپسی، ’چاند میرا دل‘ کے نام سے نئی فلم کا اعلان,https://www.express.pk/story/2732220/karanjohar-ki-ramance-ki-dunya-me-wapsi-chandmeradil-ke-nam-se-film-ka-elan,"مشہور فلم ساز کرن جوہر اور دھرما پروڈکشنز نے ایک نئے دور کی رومانوی کہانی کا اعلان کر دیا ہے جس میں اننیا پانڈے اور لکشیہ مرکزی کردار ادا کریں گے۔ فلم کا نام 'چاند میرا دل' ہے اور یہ پوسٹرز میں موجود جوڑی کی منفرد کیمسٹری اور پُرکشش انداز کو دیکھتے ہوئے ایک دلکش اور معاصر رومانوی کہانی کی پیشکش کرے گی۔ دھرما پروڈکشنز کے سوشل میڈیا اکاؤنٹس پر شیئر کیے گئے پوسٹرز میں دکھایا گیا ہے کہ اننیا ایک سادہ اور روایتی انداز میں نظر آئیں گی، جو ان کے پچھلے کرداروں سے کافی مختلف ہے۔ لکشیہ، جنہوں نے پچھلی فلم 'کل' میں اپنی ایکشن پیکڈ اداکاری سے شائقین کو متاثر کیا تھا، اس بار رومانس کی دنیا میں اپنے فن کو منوائیں گے۔ فلم کے ڈائریکٹر ویویک سونی ہیں، اور فلم کا ٹیگ لائن ""پیار تھوڑا پاگل ہونا پڑتا ہے"" نے شائقین میں تجسس بڑھا دیا ہے۔ فلم 2025 میں ریلیز کی جائے گی اور شائقین اننیا اور لکشیہ کی اس منفرد جوڑی کو دیکھنے کے لیے بےچین ہیں۔",entertainment
6,جمی شیرگل، تمنا بھاٹیہ اور اویناش تیواری کی تھرلر فلم ’سکندر کا مقدر‘ کب ریلیز ہوگی؟,https://www.express.pk/story/2732217/jimmyshergill-tamannahbhatia-avinash-ki-thriller-film-sikandarkamuqadar-kb-release-hogi,"نیٹ فلکس کی بہت انتظار کی جانے والی کرائم ڈرامہ فلم ’سکندر کا مقدر‘ 29 نومبر کو ریلیز کے لیے تیار ہے۔ اس فلم میں جمی شیرگل، اویناش تیواری، تمنا بھاٹیہ اور راجیو مہتا اہم کرداروں میں نظر آئیں گے۔ اس فلم کی ہدایتکاری معروف فلمساز نیراج پانڈے نے کی ہے، جن کی منفرد کہانی سنانے کا انداز نیٹ فلکس کے ناظرین کے لیے ایک شاندار تجربہ بننے والا ہے۔ سکندر کا مقدر کی کہانی ایک ڈکیتی، ایک پولیس افسر کی 15 سالہ تفتیش اور ایک پیچیدہ تعاقب کے گرد گھومتی ہے۔ نیراج پانڈے، جو اس سے قبل نیٹ فلکس کی سیریز ""کھاکی: دی بہار چیپٹر"" میں کام کر چکے ہیں، اس بار ایک زبردست کرائم اسٹوری کے ساتھ دوبارہ سامنے آئے ہیں۔",entertainment
7,طلاق کی افواہوں کے درمیان ایشوریا اور ابھیشیک نئی فلم میں ایک ساتھ نظر آئیں گے,https://www.express.pk/story/2732203/talaq-ki-news-aishwary-or-abhishek-nayi-film-me-sath-nazar-aayen-gay,بالی وڈ کی معروف جوڑی ایشوریا رائے اور ابھیشیک بچن طلاق کی افواہوں کی زد میں ہیں، لیکن حالیہ اطلاعات کے مطابق یہ جوڑی ایک بار پھر فلمی پردے پر اکٹھے نظر آنے والی ہے۔ بھارتی میڈیا رپورٹس کے مطابق مشہور فلم ساز منی رتنم اپنی نئی ہندی فلم میں اس جوڑی کو کاسٹ کرنے جا رہے ہیں۔ منی رتنم نے اس سے قبل 2007 کی فلم گرو میں ایشوریا اور ابھیشیک کو ایک ساتھ کاسٹ کیا تھا جس کے سیٹ سے ان کی لوو اسٹوری کا آغاز ہوا تھا اور بعد میں انہوں نے فلم راون میں بھی اس جوڑی کو اکٹھا پیش کیا۔ اب اطلاعات ہیں کہ منی رتنم ایک اور دلچسپ کہانی پر کام کر رہے ہیں جس میں یہ جوڑی پھر سے جلوہ گر ہوگی۔ واضح رہے کہ حالیہ افواہوں کے مطابق ابھیشیک بچن اور اداکارہ نمرت کور کے درمیان تعلقات کی خبریں بھی زیر گردش ہیں، جبکہ ایشوریا اور ابھیشیک کے درمیان علیحدگی کی افواہیں ہیں۔ نمرت کور نے ابھیشیک کے ساتھ رومانوی تعلقات کی تردید کرتے ہوئے کہا ہے کہ وہ اور ابھیشیک صرف دوست ہیں۔ دونوں اداکاروں کی جانب سے ان خبروں پر کوئی بیان سامنے نہیں آیا ہے۔,entertainment
8,دھمکیوں کے بعد سلمان خان کے شوٹنگ سیٹ پر 70 سے زائد سیکیورٹی اہلکار تعینات,https://www.express.pk/story/2732200/salmankhan-ke-shooting-set-par-70-se-zayed-securitypersonal-mojod,"بالی ووڈ سپر اسٹار سلمان خان نے اپنی آنے والی ایکشن ڈرامہ فلم ""سکندر"" کی شوٹنگ حیدرآباد میں دوبارہ شروع کر دی ہے۔ یہ شوٹنگ ایک ماہ تک جاری رہے گی اور سلمان خان کو درپیش سیکیورٹی خدشات کی وجہ سے سیٹ پر انتہائی سخت حفاظتی اقدامات کیے گئے ہیں۔ شوٹنگ ایک محل نما ہوٹل میں ہو رہی ہے، جسے تقریباً ایک قلعے کی طرح سیکیورٹی فراہم کی گئی ہے۔ میڈیا رپورٹس کے مطابق، سلمان خان کی سیکیورٹی کے لیے چار تہوں پر مشتمل حفاظتی اقدامات کیے گئے ہیں جن میں NSG کمانڈوز، پولیس اہلکار اور نجی سیکیورٹی گارڈز شامل ہیں۔ حیدرآباد اور ممبئی پولیس کے تعاون سے سلمان خان کے آس پاس 50 سے 70 سیکیورٹی اہلکار ہر وقت موجود ہوتے ہیں۔ ہوٹل میں داخلے پر بھی دو سطح کی جانچ کی جاتی ہے، اور تمام عملے کی روزانہ جانچ پڑتال ہوتی ہے۔ اس شیڈول کے دوران سلمان خان اور ان کی ساتھی اداکارہ راشمیکا مندانا پر دو خصوصی گانوں کی فلمبندی بھی شامل ہے۔ ان گانوں کو بڑے پیمانے پر فلمایا جا رہا ہے اور ان میں سلمان اور راشمیکا کی کیمسٹری کو اجاگر کیا جائے گا۔ یہ سخت حفاظتی انتظامات سلمان خان کو موصول ہونے والی دھمکیوں کے باعث کیے گئے ہیں، جو کہ کالے ہرن کے شکار کیس سے جڑی ہوئی ہیں۔ اس دھمکی کے بعد حکومت نے سلمان خان کو Y-کیٹیگری سیکیورٹی فراہم کی ہے تاکہ ان کی حفاظت یقینی بنائی جا سکے۔",entertainment
9,چندو چیمپئن اور بھول بھلیاں 3 کے ساتھ کارتک آریان نے باکس آفس پر نیا ریکارڈ قائم کر دیا,https://www.express.pk/story/2732194/chanduchampion-bhoolbhulyaan3-ke-sath-kartikaryan-ne-new-record-bana-dia,بالی ووڈ کے معروف اداکار کارتک آریان کے لیے سال 2024 سب سے کامیاب سال ثابت ہوا، جس میں ان کی دو بڑی فلموں، چندو چیمپئن اور بھول بھلیاں 3، نے باکس آفس پر مجموعی طور پر 200 کروڑ روپے سے زیادہ کا بزنس کیا۔ کارتک نے 2022 میں اس سنگ میل کے قریب پہنچ کر یہ خواب ادھورا چھوڑ دیا تھا، لیکن اس سال کی کامیابی نے انہیں بالآخر اس کلب کا حصہ بنا دیا ہے۔ چندو چیمپئن نے باکس آفس پر 62.95 کروڑ روپے کمائے، جس میں کارتک کی اداکاری کو خاص طور پر سراہا گیا۔ اس کے بعد نومبر میں ریلیز ہونے والی بھول بھلیاں 3 نے اپنے پہلے ہی ہفتے میں 143.91 کروڑ روپے کما کر ایک اور سنگِ میل عبور کیا۔ یہ فلم کارتک کی مقبولیت کو مزید بڑھانے میں کامیاب رہی ہے اور اب بھی سینما گھروں میں جاری ہے۔ کارتک کی سال 2024 کی مجموعی کمائی 206.86 کروڑ تک پہنچ چکی ہے، اور فلم کی کامیابی کے پیش نظر امید کی جا رہی ہے کہ وہ اس سال کے آخر تک 300 کروڑ کے ہدف تک بھی پہنچ سکتے ہیں۔,entertainment
