"ID","Title","Link","Content","Gold Label"
"0","چیمپئنز ٹرافی کیلئے پاکستان کیوں نہیں آرہے؟ مداح کے سوال پر سوریا کمار نے کیا جواب دیا؟","https://urdu.geo.tv/latest/386424-","بھارتی ٹی ٹوئنٹی ٹیم کے کپتان سوریا کمار یادیو کا پاکستانی فین کی جانب سے چیمپئنز ٹرافی کھیلنے کے لیے پاکستان نہ آنے کے حوالے سے پوچھے گئے سوال پر ردعمل سامنے آیا ہے۔ بھارت نے آئندہ برس فروری میں پاکستان میں ہونے والی چیمپئنز ٹرافی میں  پاکستان نہ آنے کا فیصلہ کیا ہے  جبکہ پاکستانی حکومت بھارت کے نہ آنے پر اس سے میچز کے بائیکاٹ کا کہہ چکی ہے۔ پاکستان کرکٹ بورڈ نے آئی سی سی چیمپئنز ٹرافی کے لیے اپنی ٹیم نہ بھیجنے کے بھارتی کرکٹ بورڈکے فیصلے پر سخت مؤقف اپناتے ہوئے مائنس انڈیا فارمولے پر غور شروع کر دیا ہے۔ ایسے میں ایک پاکستانی فین نے بھارتی ٹی ٹوئنٹی ٹیم کے کپتان سوریا کمار یادیو (جو ان دنوں جنوبی افریقا میں ٹی ٹوئنٹی سیریز کھیل رہے ہیں) سے چیپمئنز ٹرافی کھیلنے کے لیے بھارتی ٹیم کے پاکستان نہ آنے کی وجہ پوچھ لی۔ سوشل میڈیا پر ایک ویڈیو وائرل ہورہی ہے جس میں سوریا کمار یادیو ساتھی کرکٹر رنکو سنگھ کے ہمراہ بظاہر ایک گیمنگ زون میں کھڑے نظر آرہے ہیں۔ بھارتی کرکٹرز کو دیکھ کر وہاں موجود فینز اکھٹا ہوگئے۔ ایسے میں ایک پاکستانی فین نے سوریا کمار یادیو سے سوال کیا کہ آپ چیمپئنز ٹرافی کیلئے پاکستان کیوں نہیں آرہے؟ جس پر بھارتی کپتان نے جواب دیاکہ ' یہ ہمارے ہاتھ میں نہیں ہے'۔ واضح رہے کہ چیمپئنز ٹرافی پر  پاک بھارت تنازع حل نہ ہوا تو مالی نقصان  آئی سی سی کا بھی ہوگا۔بھارتی رویےکے خلاف پاکستانی پالیسی موجودہ  سائیکل میں آئی سی سی کی آمدن پر اثر انداز  ہوگی۔ بھارت کو 2024 سے 2031 تک  آئی سی سی کے 4 ایونٹس کی میزبانی کرنا ہے۔پاکستانی حکومت کی ٹیم بھارت نہ بھیجنےکی پالیسی ان ایونٹس میں پاکستان کی شرکت ناممکن بناسکتی ہے۔حکومت پاکستان کی موجودہ پوزیشن کے بعد آئی سی سی میں بھی ہلچل ہے۔ بھارت  کو اگلے سال ویمن ورلڈکپ، 2026 میں ٹی ٹوئنٹی ورلڈکپ، 2029 میں چیمپئنز ٹرافی اور 2031 میں ورلڈکپ کی میزبانی کرنا ہے۔ پاکستان کا ان ایونٹس سے دستبردار ہونا آئی سی سی کے براڈکاسٹ ریونیو  پر اثر انداز  ہوگا۔ پاکستان میں ہونے والی  چیمپئنز ٹرافی میں بھارت  کے نہ آنے پر پاکستانی حکومت بھارت  سے میچز کے بائیکاٹ کا کہہ چکی ہے، آئی سی سی بھی پریشان ہے پاکستان کرکٹ بورڈ نے بھارت کے خلاف سخت مؤقف اپنانے کے لیے 1996 اور 2003 ورلڈ کپ کی مثال پیش کرنے کا فیصلہ کیا ہے: ذرائع ","sports"
"1","قومی ٹیم میں حارث رؤف کو کس انوکھے نام سے پکارا جاتا ہے؟","https://urdu.geo.tv/latest/386417-","پاکستان کرکٹ ٹیم کے فاسٹ بولر اور آسٹریلیا کے خلاف ون ڈے سیریز میں بہترین کھلاڑی قرار پانے والے حارث رؤف کا نیا'نِک نیم' سامنے آگیا۔ گزشتہ روز پاکستان نے آسٹریلیا کو تیسرے ون ڈے میں شکست دے کر سیریز دو ایک سے اپنے نام کی۔ پاکستان نے آسٹریلوی زمین پر آسٹریلیا کے خلاف 22 سال بعد ون ڈے سیریز میں کامیابی حاصل کی۔اس کامیابی میں پاکستانی بولرز کا اہم کردار رہا۔ گرین شرٹس کی جانب سے حارث رؤف نے تینوں میچز میں شاندار کارکردگی دکھائی اور مجموعی طور پر 10 وکٹیں حاصل کرتے ہوئے پلیئر آف دی سیریز قرار پائے۔ سیریز جیتنے کے بعد قومی فاسٹ بولر شاہین آفریدی نے حارث رؤف سے خصوصی گفتگو کی جسے پاکستان کرکٹ بورڈ کی جانب سے سوشل میڈیا پر شیئر کیا گیا۔ اس گفتگو کی خاص بات یہ بھی تھی کہ اس میں شائقین کو پتا چلا کہ حارث رؤف کو ٹیم میں ایک انوکھے نام سے پکارا جاتا ہے۔   گفتگو کے آغاز میں شاہین نے حارث کا تعارف کرواتے ہوئے کہا کہ آج میرے ساتھ ہیں 'حارث 150'۔شاہین نے بتایا کہ ہم حارث کو اس کی بولنگ کی اسپیڈ کی وجہ سے 150 بلاتے ہیں۔ شاہین سے گفتگو کرتے ہوئے حارث رؤف نے شاندار کارکردگی اور سیریز جیتنے پر اللہ کا شکر ادا کیا۔ انہوں نے کہا کہ 22 سال بعد آسٹریلیا کے خلاف اس کے میدان میں سیریز جیتنا بہت بڑی بات ہے، یہ جیت ہمارے لیے بہت اہم ہے۔ٹیم کے اندر ایک اچھا ماحول بنا ہوا ہے۔ آسٹریلوی بیٹر میکسویل کو سیریز کے تینوں میچز میں آؤٹ کرنے پر بات کرتے ہوئے حارث نے کہا کہ اس کے خلاف کوئی خاص منصوبہ نہیں تھا،میکسویل جس طرح کا بیٹر ہے اسے آؤٹ کرکے اعتماد ملتا ہے۔ شاہین نے حارث سے پوچھا کہ سیریز میں آپ کی فیورٹ وکٹ کونسی تھی؟ جس پر جواب دیتے ہوئے حارث نے بتایا کہ میکسویل اور مارنس لبوشین کی وکٹ فیورٹ تھی۔","sports"
"2","پاکستان کیخلاف سیریز آسٹریلیا کی بہت زیادہ ترجیحات میں شامل نہیں تھی: جیسن گلیسپی","https://urdu.geo.tv/latest/386407-","  پاکستان کرکٹ ٹیم  کے عبوری کوچ جیسن گلیسپی نے کہا ہے کہ پاکستان کے خلاف  تین ون ڈے میچز کی سیریز آسٹریلیا کی بہت زیادہ ترجیحات میں شامل نہیں تھی، کرکٹ آسٹریلیا بھارت کے خلاف بارڈر گواسکر ٹرافی پر زیادہ توجہ دے رہا ہے۔ آسٹریلوی میڈیا کو انٹرویو میں جیسن گلیسپی نے کہا کہ حارث رؤف کے پیس نے آسٹریلوی بیٹنگ کی خامیوں کو ایکسپوز کیا اور  ہم یہ جانتے تھے کہ آخری میچ کے لیے آسٹریلوی ٹیم میں تبدیلیاں ہوں گی۔ انہوں نے کہا کہ آپ کے ذہن میں ہمیشہ یہ بات ہوتی ہے پرتھ میں وہ اپنے بڑے فاسٹ بولرز میدان میں اتاریں گے لیکن یہ سلیکٹرز اور کوچز پر منحصر ہے کہ وہ اپنے کھلاڑیوں کو کیسے مینج کرتے ہیں اور آسٹریلیا نے پاکستان کے خلاف یہی کچھ کیا۔ ان کا کہنا تھاکہ تین ون ڈے میچز کی سیریز آسٹریلیا کی بہت زیادہ ترجیحات میں شامل نہیں تھی اور ایمانداری سے کہوں تو کرکٹ آسٹریلیا نے ہمارے ون ڈے سیریز کی اتنی پروموشن نہیں کی جو کہ حیران کن تھا، کرکٹ آسٹریلیا بھارت کے خلاف بارڈر گواسکر ٹرافی پر زیادہ توجہ دے رہا ہے۔ پرتھ میں پاکستان نے 141 رنز کا ہدف 27ویں اوور میں حاصل کرلیا، کپتان محمد رضوان اور بابر اعظم بالترتیب 30 اور 28 رنز بناکر ناقابلِ شکست رہے جیسن گلیسپی کا کہنا تھاکہ ہم یہی کر سکتے ہیں کہ ہمارے سامنے کوئی بھی حریف ٹیم ہو ان کے خلاف اچھا کھیلیں، بڑی خوشی کی بات ہے ہم نے آسٹریلیا کو صرف ہرایا نہیں بلکہ بڑے واضح مارجن سے شکست دی اور حقیقت یہی ہے کہ ہمیں پہلا میچ بھی جیتنا چاہیے تھا۔ انہوں نے مزید کہا کہ انٹرنیشنل کرکٹ میں آپ کو اپنے پلیئرز کو زیادہ سے زیادہ فٹ رکھنے کی کوشش کرنی ہوتی ہے، یہ بڑی غیر حقیقی بات ہے کہ آپ ہر میچ میں ہر ایک کھلاڑی کو کھلائیں کیونکہ ہر میچ میں ہر کھلاڑی کو کھلانا قابل عمل نہیں، اس سے کھلاڑی تھکاوٹ کا شکار ہو سکتے ہیں۔ گلیسپی کا کہنا تھاکہ اس سیریز میں ہماری بولنگ آسٹریلوی بیٹنگ کی خامیوں کو سامنے لے کر آئی اور مجھے یقین ہے آسٹریلیا اس خامیوں کو بہتر کرنے کی کوشش کرے گی، اچھے کھلاڑی اور ٹیمیں ایسا ہی کرتی ہیں، آپ سیکھتے ہیں اور نئے چیلنج کے لیے تیاری کرتے ہیں۔ خیال رہے کہ گزشتہ روز  پاکستان نے 22 سال بعد آسٹریلیا کو اس کے ہوم گراؤنڈ پر ون ڈے سیریز میں شکست دی اور سیریز 1-2 سے اپنے نام کی۔","sports"
"3","سابق بھارتی کرکٹر کے بیٹے نے جنس تبدیل کرالی","https://urdu.geo.tv/latest/386395-","سابق بھارتی کرکٹر اور کوچ سنجے بانگر کے بیٹے نے اپنی جنس تبدیل کرالی۔ بھارتی میڈیا رپورٹس کے مطابق سابق بھارتی آل راؤنڈر سنجے بانگر کے 23 سالہ بیٹے جو پہلے آریان تھے اور جنس تبدیل کروانے کے بعد اب عنایہ بن گئے نے کچھ ماہ قبل سوشل میڈیا پر ہارمونل ٹرانسفارمیشن کے ذریعے اپنی جنس کی تبدیلی کا سفر شیئر کرنے کے بعد کافی توجہ حاصل کی۔ بھارتی میڈیا کی رپورٹ میں بتایا گیا ہے کہ پیدائشی طو ر پر لڑکا پیدا ہونے والے آریان نے 2023 میں ہارمون ریپلیسمنٹ تھراپی (HRT) شروع کی اور اب انہوں نے ایک ٹرانس جینڈر لڑکی کے طور پر اپنی نئی شناخت حاصل کی ہے جس کے بعد وہ سوشل میڈیا پر کافی ٹرینڈ کر رہے ہیں۔ عنایہ اس وقت برطانیہ میں کرکٹ کھیل رہی ہیں اور انہوں  نے اپنے اس پیچیدہ اور جذباتی سفر کی کہانی سوشل میڈیا پر بھی شیئر کی۔ عنایہ نے اپنی انسٹاگرام پوسٹ میں بتایا کہ کس طرح ہارمون ریپلیسمنٹ تھراپی کے 11 ماہ کے بعد وہ مکمل خوشی حاصل کرنے میں کامیاب ہوئی ہیں۔ واضح رہے کہ سنجے بانگر نے بھارت کے لیے 12 ٹیسٹ اور 15 ون ڈے میچز کھیلے، اس کے علاوہ انہوں نے کوچنگ کی ذمہ داریاں بھی نبھائیں۔","sports"
"4","چیمپئنز ٹرافی: حفیظ حکومت اور بورڈ کی جانب سے بھارت کیلئے منہ توڑ جواب کے منتظر","https://urdu.geo.tv/latest/386376-","بھارتی کرکٹ بورڈ کی جانب سے  چیمپئنز ٹرافی کیلئے ٹیم پاکستان بھیجنے سے انکار کے معاملے پر سابق کپتان محمد حفیظ پی سی بی کے منہ توڑ جواب کے منتظر ہیں۔ کرکٹ  ویب سائٹ کی رپورٹ  کے مطابق بی سی سی آئی کی جانب  سے آئی سی سی کو  آگاہ کیا جاچکا ہے کہ بھارتی ٹیم  چیمپئنز ٹرافی 2025 میں شرکت کے لیے پاکستان نہیں جائےگی، اس نئی پیشرفت کے بعد آئی سی سی اور پاکستان کرکٹ بورڈ کو متبادل پلان پرکام کرنا ہوگا اور  ہائبرڈ ماڈل کے تحت   پاکستان  اور  یو اے ای میں میچز کرانا ہوں گے۔ دوسری جانب چیمپئنز ٹرافی کے لیے بھارت کے پاکستان نہ آنے کے معاملے پر پاکستان کرکٹ بورڈ نے بھی  قانونی مشاورت مکمل کرلی ہے جب کہ سابق کپتان محمد حفیظ پی سی بی کے  منہ توڑ جواب کے منتظر ہیں۔ اس حوالے سے  ایکس پر اپنی رائے کا اظہار کرتے ہوئے محمد حفیظ نے کہا کہ دن کا  خواب تھا کہ بھارت چیمپئنز ٹرافی کے لیے پاکستان آ ئے گا، پاکستان  محفوظ ملک ہے اور ایونٹ کی میزبانی کیلئے تیار ہے۔ حفیظ نے کہا کہ پاکستان کرکٹ کھیلنے والے تمام ممالک کی میزبانی کررہا ہے لیکن بھارت کے لیے محفوظ نہیں ہے، حکومت اور پی سی بی کی جانب سے مضبوط اور حیران کن جواب کے منتظر ہیں۔ خیال رہےکہ آئی سی سی  چیمپئنز ٹرافی آئندہ سال  19 فروری سے 9 مارچ تک پاکستان میں شیڈول ہے جس میں 8 ٹیموں نے شرکت کرنا ہے۔ اگلے ایک دو روز میں حکومتی گائیڈ لائنز مطابق آئی سی سی کو خط لکھا جائیگا، پی سی بی نے قانونی مشاورت مکمل کرلی بی سی سی آئی کی جانب  سے  آئی سی سی کو  آگاہ کردیا گیا ہے، کرکٹ ویب سائٹ کا دعویٰ ","sports"
"5","بھارت کی کھیل میں پھرسیاست، ویزے جاری نہ ہونے سے پاکستان ایشین یوتھ اسکریبل چیمپئن شپ کے ٹائٹل کے دفاع سے محروم","https://urdu.geo.tv/latest/386365-","پاکستان اسکرائیبل ٹیم کے بیشتر اور اہم کھلاڑیوں کو بھارت کاا ویزا نہیں مل سکا جس کے باعث پاکستان ٹیم ایشین یوتھ اسکریبل چیمپئن شپ کے ٹائٹل کے دفاع سے محروم ہوگئی۔ بھارت نے ورلڈ یوتھ چیمپئن علی سلمان کو بھی ویزا جاری نہیں کیا، پاکستان اسکریبل ایسوسی ایشن کا مؤقف ہے کہ 20 کھلاڑیوں میں سے صرف 6 کھلاڑیوں کو ویزے دیے گئے وہ بھی ایونٹ شروع ہونے سے ایک روز قبل ویزے دیے گئے۔ ایشیا یوتھ اسکریبل چیمپئن شپ بھارت کے شہر دہلی میں شروع ہوگئی، پاکستان نے اس چیمپئن شپ میں اپنے اعزاز کا دفاع کرنا تھا، پاکستان نے 2022 میں ایشین یوتھ اسکریبل  چیمپئن شپ جیتی تھی۔ پاکستان یوتھ اسکریبل کے ڈائریکٹر طارق پرویز نے جیو نیوز کو بتایا کہ  پاکستانی پلیئرز نے ایونٹ سے دو ماہ قبل ویزوں کیلئے درخواست دی، انڈین ہائی کمیشن نے جان بوجھ کر ویزے دینےمیں تاخیرکی،  پاکستان نے 20 کھلاڑی اور  5  آفیشلزکے ویزے اپلائی کیے تھے، صرف 6 کھلاڑیوں کو ٹورنامنٹ شروع ہونے سے ایک روز قبل ویزے جاری کیے گئے۔ طارق پرویز کا کہنا تھا کچھ آفیشلز اور کھلاڑیوں کی فیملیز کو بھی ویزے دے دیے لیکن پاکستان ٹیم کے جو اہم کھلاڑی تھے انہیں ویزے نہیں دیے گئے ورلڈ یوتھ چیمپئن علی سلمان کو ویزا نہیں دیا گیا بلالا ارشد کو بھی ویزا جاری نہیں کیا گیا۔","sports"
"6","پاکستان ٹیم سے بدترین شکست پر سابق آسٹریلوی کھلاڑی  برس پڑے","https://urdu.geo.tv/latest/386352-","پاکستان سے ون ڈے سیریز میں شرمناک شکست پر سابق آسٹریلوی کھلاڑی اپنی ٹیم پر برس پڑے۔ آسٹریلوی ٹیم کے سابق  کپتان مائیکل کلارک  نے  ٹیسٹ کھلاڑیوں کو تیسرے میچ کے لیے آرام دینے پر سوال اٹھاتے ہوئے کہا کہ اسمتھ، کمنز ، اسٹارک لبو شین اور ہیزل ووڈ کو تیسرے میچ میں کیوں آرام دیا گیا ؟ مائیکل کلارک کا کہنا تھا کہ 22 نومبر سے بھارت کے خلاف ہونے والے ٹیسٹ کے لیے ان کھلاڑیوں کو آرام دے دیا گیا، ٹیسٹ وکٹ کیپر ایلیکس کیری  ڈومیسٹک ون ڈے کپ کھیل رہے ہیں،  مجھے لگتا ہے کہ کرکٹ آسٹریلیا کو  ہارنے کی پرواہ نہیں ہے۔ حارث رؤف، شاہین آفریدی، نسیم شاہ اور حسنین کی تباہ کن بالنگ کی بدولت سیریز کے کسی میچ میں آسٹریلوی بیٹرز کھل کر نہ کھیل سکے سابق کپتان نے مزید کہا کہ آسٹریلیا نے پہلے دو  میچز جیتے ہوتے تو آرام دینے کی سمجھ آتی ہے، جب سیریز  فیصلہ کن میچ  پر پہنچی ہوئی آپ  نے بڑے کھلاڑیوں کو آرام کرادیا۔ دوسری جانب سابق آسٹریلوی کھلاڑی برینڈن جیولین نے کہا کہ  شکست شر مناک ہے، شیڈول ایشو  رہا ہے ، فیصلہ کن  میچ سے قبل 5 کھلاڑیوں کو بٹھایا  نہیں جاتا۔ اس کے علاوہ سابق آسٹریلوی کرکٹر اور کوچ مائیک ہسی کا کہنا تھا کہ ایسا کہیں نہیں ہوتا کہ اہم میچ سے قبل 5کھلاڑیوں کو باہر بٹھا دیں، تینو ں میچز   میں آسٹریلوی بیٹنگ ایکسپوز ہوئی ہے۔","sports"
"7","پی سی بی اپنے مؤقف پر ڈٹ گیا، مائنس بھارت چیمپئنز ٹرافی کی تجویز بھی زیر غور","https://urdu.geo.tv/latest/386358-","پاکستان کرکٹ بورڈ نے آئی سی سی چیمپینز ٹرافی کے لیے اپنی ٹیم نہ بھیجنے کے بی سی سی آئی کے فیصلے پر سخت مؤقف اپناتے ہوئے مائنس انڈیا فارمولے پر غور شروع کر دیا۔ پاکستان کرکٹ بورڈ نے بھارت کے خلاف سخت مؤقف اپنانے کے لیے ابتدائی مؤقف میں 1996 اور 2003 ورلڈ کپ کی مثال پیش کرنے کا فیصلہ کیا ہے۔ 1996 میں آسٹریلیا اور ویسٹ انڈیز نے سری لنکا میں کھیلنے سے انکار کیا تھا جبکہ 2003 میں نیوزی لینڈ نے کینیا اور انگلینڈ نے زمبابوے میں کھیلنے سے انکار کیا تھا۔ آئی سی سی نے انکار کرنے والی ٹیموں کے میچز میں حریف ٹیموں کو پوائنٹس دے دیے تھے۔ ذرائع کے مطابق پی سی بی کا آئی سی سی میں یہ مؤقف ہوگا کہ ماضی میں ٹیموں کے نہ آنے پر وینیو تبدیل نہیں کیا گیا، ان مثالوں کی بنیاد پر پاکستان ایک سخت مؤقف اپنائے گا۔ اگلے ایک دو روز میں حکومتی گائیڈ لائنز مطابق آئی سی سی کو خط لکھا جائیگا، پی سی بی نے قانونی مشاورت مکمل کرلی ذرائع کا کہنا ہے کہ پاکستان اس بنیاد پر مائنس انڈیا چیمپئنز ٹرافی کی تجویز بھی دے سکتا ہے، بھارت کی جانب سے چیمپئنز ٹرافی پر اب تک کوئی بات تحریری طور پر نہیں کی گئی۔ ذرائع کا کہنا ہے کہ پاکستان کرکٹ بورڈ آئی سی سی میں اس بات پر زور دے گا کہ بھارت تمام مؤقف تحریری طور پر پیش کرے۔ اس سے قبل یہ خبر بھی سامنے آئی تھی کہ پاکستان اگلے ایک دو روز میں حکومتی گائیڈ لائنز کی روشنی میں آئی سی سی کو خط لکھے گا جس کے لیے بورڈ نے قانونی مشاورت بھی مکمل کر لی ہے۔","sports"
"8","چیمپئنز ٹرافی: پی سی بی کا سخت مؤقف، بھارت سے ٹیم نہ بھیجنے کی ٹھوس وجوہات جاننے کا فیصلہ","https://urdu.geo.tv/latest/386351-","لاہور: چیمپئنز ٹرافی کے لیے بھارت کے پاکستان نہ آنے کے معاملے پر پاکستان کرکٹ بورڈ نے قانونی مشاورت مکمل کر لی۔ ذرائع کے مطابق پاکستان کرکٹ بورڈ اگلے ایک دو روز میں آئی سی سی کو خط لکھے گا، آئی سی سی کو خط حکومتی گائیڈ لائنز کے مطابق لکھا جائے گا، بورڈ نے اس حوالے سے قانونی مشاورت بھی مکمل کر لی ہے۔ ذرائع کا بتانا ہے کہ پی سی بی آئی سی سی سے بھارت کے پاکستان نہ آنے کی ٹھوس وجوہات کا پوچھے گا، پی سی بی حکومتی تجویز کے مطابق سخت ترین جواب دے گا اور اپنا مؤقف پیش کرے گا۔   ذرائع کا کہنا ہے کہ بھارتی بورڈ نے زبانی آئی سی سی کو چیمپئینز ٹرافی کے لیے پاکستان نہ آنے کا بتایا، پی سی بی مطالبہ کرے گا کہ بھارتی بورڈ انکار کی وجہ لکھ کر دے، پاکستان کرکٹ بورڈ دیگر بورڈز سے بھی رابطے کر کے اپنا مؤقف سامنے رکھے گا۔ یاد رہے کہ آئی سی سی نے پی سی بی کو تحریری طور پر بھارتی فیصلے کا بتایا، آئی سی سی کے بتانے کے بعد پی سی بی نے حکومت سے رجوع کیا تھا۔","sports"
"9","پاکستان کیخلاف ٹی ٹوئنٹی سیریز، آسٹریلیا نے جوش فلپ کو اسکواڈ میں شامل کرلیا","https://urdu.geo.tv/latest/386332-","میلبرن: پاکستان کیخلاف ٹی ٹوئنٹی سیریز کیلئے جوش فلپ کو آسٹریلین اسکواڈ میں شامل کرلیا گیا۔ کرکٹ آسٹریلیا کے مطابق جوش فلپ ٹی ٹوئنٹی اسکواڈ میں بھی برقرار رہیں گے، جوش فلپ کو کوپر کنولی کی جگہ اسکواڈ میں شامل کیا گیا ہے۔ کرکٹ آسٹریلیا کے مطابق جوش فلپ کل ون ڈے کپ کا میچ کھیلنے کے بعد برسبین میں ٹیم کو جوائن کریں گے۔ خیال رہے کہ آسٹریلوی کرکٹر کوپر کنولی تیسرے ون ڈے میچ میں زخمی ہو گئے تھے۔ پاکستان اور آسٹریلیا کے درمیان تین ٹی ٹوئنٹی میچز کی سیریز کھیلی جائے گی، پہلا ٹی ٹوئنٹی میچ 14 نومبر کو برسبین میں ہوگا۔ ","sports"
