id,title,link,content,gold_label
0,امید ہے ٹرمپ اپنے دوسرے دور صدارت میں جنگیں رکوائیں گے، ترک صدر,https://jang.com.pk/news/1409118,ترک صدر رجب طیب اردوان نے امریکا کے نو منتخب صدر ڈونلڈ ٹرمپ سے جنگ بندی کروانے کی امید ظاہر کردی اور کہا کہ انھیں امید ہے کہ ٹرمپ اپنے دوسرے دور صدارت میں جنگیں رکوائیں گے۔ ترک صدر نے غزہ اور لبنان جنگوں کے بارے میں اپنے خطاب کے دوران غزہ اور لبنان جنگ پر ان کی توجہ مبذول کروائی۔ انھوں نے ڈونلڈ ٹرمپ کی تاریخی کامیابی پر انہیں مبارکباد بھی پیش کی۔ صدر اردوان نے مزید کہا کہ امید ہے ڈونلڈ ٹرمپ اپنی سابقہ حکومتی غلطیاں نہیں دہرائیں گے اور جنگ بندی کےلیے کردار ادا کریں گے۔ ترک صدر نے کہا کہ ڈونلڈ ٹرمپ سے دوبارہ صدر منتخب ہونے کے بعد فون پر گفتگو ہوئی جس میں غزہ اور لبنان کے مسائل پر بھی بات ہوئی۔ انھوں نے قبل ازیں میڈیا سے گفتگو میں بتایا کہ انھوں نے ٹرمپ کو ترکیہ کے دورے کی دعوت دی ہے تاکہ امریکا کے ساتھ ترکی کے کشیدہ تعلقات کو بحال کرنے کی کوشش کی جائے۔ انکا کہنا تھا کہ دوران گفتگو ٹرمپ نے ترکی کے بارے میں بہت مثبت بات کی۔,International
1,اسرائیلی وزیراعظم کے دفتر پر نیتن یاہو کے قریبی ساتھیوں کی  حساس ویڈیوز جمع کرنے کا الزام,https://jang.com.pk/news/1409111,"اسرائیلی وزیراعظم کے دفتر پر نیتن یاہو کے قریبی ساتھیوں کی حساس ویڈیوز جمع کرنے کا الزام سامنے آیا ہے،  جبکہ وزیراعظم ہاؤس نے الزامات کی سختی سے تردید کردی ہے۔ اسرائیلی فوج نے 5.2 ارب ڈالر کے معاہدے کے تحت بوئنگ کمپنی سے 25 جدید ایف-15 جنگی طیارے خریدنے کا اعلان کیا ہے، جن کی فراہمی 2031 میں شروع ہوگی۔ اسرائیلی میڈیا کے مطابق وزیراعظم بن یامین نیتن یاہو کے دفتر نے برطرف وزیر دفاع یو آف گیلنٹ اور ایک اعلیٰ اسرائیلی دفاعی اہلکار کی حساس سیکیورٹی کیمرہ ویڈیوز جمع کی ہیں۔ اس اقدام کے پیچھے وجوہات ابھی تک واضح نہیں ہیں۔ وزیراعظم آفس نے ان الزامات کی سختی سے تردید کرتے ہوئے رپورٹ کو جھوٹ قرار دیا ہے۔ اسرائیلی وزیراعظم کے خلاف حساس ویڈیوز جمع کرنے کے  دعوے اسرائیل کے اہم عبرانی  میڈیا ذرائع جیسے ہاریٹز، وائی نیٹ اور کان نے کیے ہیں۔ گزشتہ دنوں اسرائیلی وزیراعظم کے دفتر سے حساس معلومات لیک ہونے پر حکومت نے اس کیس کی تفصیلات میڈیا میں لانے پر پابندی عائد کردی تھی، رپورٹس کے مطابق چیف آف اسٹاف ہرزی ہلیوی کو چند ماہ قبل مطلع کیا گیا تھا کہ وزیراعظم آفس کے پاس ایک اعلیٰ فوجی شخصیت کی حساس فوٹیج موجود ہے اور یہ فوٹیج غیرمعمولی طریقے سے استعمال کی گئی۔ رپورٹس میں مزید کہا گیا ہے کہ یہ معاملہ حالیہ دنوں میں وزیراعظم آفس کے گرد گھومنے والے دیگر اسکینڈلز اور وزیراعظم کے کچھ معاونین کے خلاف جاری پولیس تحقیقات سے جڑا ہوا معلوم ہوتا ہے۔ نیتن یاہو نے اعتماد کی کمی کا حوالہ دیتے ہوئے اپنے طویل عرصے کے سیاسی حریف اور لیخود پارٹی کے رکن وزیر دفاع یو آوف گولانٹ کو برطرف کرنے کا اعلان کیا ہے۔ چینل 12 کی رپورٹ کے مطابق وزیراعظم آفس کے دو اعلیٰ عہدیداروں نے مبینہ طور پر سیکیورٹی کیمروں سے حساس مواد نکالنے میں کردار ادا کیا، تاہم ان کی وجوہات نامعلوم ہیں۔ ان الزامات نے وزیراعظم آفس میں حساس معلومات کے انتظام پر سوالات اٹھا دیے ہیں جبکہ نیتن یاہو کے دفتر کے گرد جاری تنازعات میں مزید اضافہ ہوگیا ہے۔ اسرائیلی ویب سائٹ وائی نیٹ نے انکشاف کیا ہے کہ برطرف وزیر دفاع یوآف گیلنٹ کی ایک ""شرمناک"" ویڈیو بھی جمع کی گئی تھی، جس میں انہیں اکتوبر 2023 میں تل ابیب میں وزارت دفاع کے ہیڈکوارٹر میں ایک سیکیورٹی گارڈ سے الجھتے ہوئے دیکھا گیا ہے۔ اس ویڈیو کے لیک ہونے پر سیکیورٹی اور حکومتی حلقوں میں تشویش بڑھ رہی ہے۔ تازہ رپورٹس میں انکشاف ہوا ہے کہ وزیراعظم بن یامین نیتن یاہو کے دفتر نے سابق وزیر دفاع یوآف گیلنٹ کو سیکیورٹی میٹنگز میں مدعو نہ کرنے اور اہم فیصلوں میں ان کا کردار محدود کر کے انہیں ""ذلیل"" کرنے کی کوشش کی۔ رپورٹ کے مطابق وزیراعظم کے ترجمان جوناتان اُریچ نے تل ابیب میں سیکیورٹی گارڈ سے گیلنٹ کی تکرار کے واقعے کی ویڈیو جلدی سے حاصل کر کے متعدد افراد کے ساتھ شیئر کی اور بعد میں اسے اپنے پاس رکھ لیا۔ اُریچ نے وائی نیٹ کے تبصرے کی درخواست پر جواب دیا کہ ""مجھے اس کہانی کے بارے میں کچھ معلوم نہیں۔"" اس انکشاف سے وزیراعظم آفس پر حساس معلومات کے ممکنہ غلط استعمال اور حکومتی حلقوں میں طاقت کے عدم توازن پر مزید سوالات اٹھ رہے ہیں۔ ان الزامات نے وزیراعظم آفس میں حساس معلومات کے انتظام پر سوالات اٹھا دیے ہیں جبکہ نیتن یاہو کے دفتر کے گرد جاری تنازعات میں مزید اضافہ ہوگیا ہے۔ اس سے پہلے بھی اسرائیلی وزیراعظم کے دفتر پر گیلنٹ سمیت دیگر اعلیٰ شخصیات کی حساس ویڈیوز جمع کرنے کے الزامات لگ چکے ہیں۔",International
2,‎امریکی مسلمانوں، عرب ووٹرز نے ڈیموکریٹس کو چھوڑ دیا: سی اے آئی آر,https://jang.com.pk/news/1409056,کونسل آن امریکن-اسلامک ریلیشن (سی اے آئی آر) کے مطابق 2024ء کے صدارتی انتخابات میں امریکی مسلمان اور عرب ووٹرز نے تاریخی تبدیلی کا مظاہرہ کرتے ہوئے ڈیموکریٹک پارٹی سے منہ موڑ لیا۔ سی اے آئی آر نے ایگزٹ پول کے نتائج کی ریلیز کو مؤخر کرنے کا اعلان کیا ہے۔ کونسل آن امریکن-اسلامک ریلیشن کا کہنا ہے کہ نتائج کے نئے وقت اور تاریخ کا جلد اعلان کیا جائے گا۔ امریکی صدارتی انتخابات میں ڈونلڈ ٹرمپ اور ان کی جماعت ریپبلکن پارٹی کی شاندار کامیابی کے بعد اب امریکا کیسا ہوگا؟ یہ سوال امریکا سمیت دنیا بھر میں گردش کر رہا ہے۔ سی اے آئی آر کی جانب سے ایک ہزار سے زائد ووٹرز پر کیے گئے ایگزٹ پول کے مطابق نصف سے بھی کم مسلم ووٹرز نے نائب صدر کملا ہیرس کو ووٹ دیا، جبکہ بیشتر ووٹرز نے ڈونلڈ ٹرمپ یا پھر تیسرے فریق کے امیدواروں کی حمایت کی۔ سی اے آئی آر کے ڈائریکٹر برائے حکومتی امور رابرٹ مکاؤ کا کہنا ہے کہ یہ پہلی بار ہے کہ گزشتہ 20 سال میں مسلم کمیونٹی 3 امیدواروں کے درمیان منقسم ہوئی ہے۔ ‎سی اے آئی آر کے قومی ایگزیکٹیو ڈائریکٹر نہاد عواد کے مطابق غزہ پر کملا ہیرس کی پالیسی ووٹرز کی اس بڑی تبدیلی کا سبب بنی۔ ان کا کہنا ہے کہ نائب صدر نے غزہ میں جنگ بندی اور اسرائیل کو ہتھیاروں کی فراہمی معطل کرنے کی عوامی حمایت کو نظر انداز کیا۔ نہاد عواد نے کہا کہ کملا ہیرس نے صرف ایک ہمدردانہ لہجہ اپنایا جبکہ صدر بائیڈن کی پالیسی پر قائم رہیں۔ ‎دی انٹرسیپٹ کی رپورٹ کے مطابق مشی گن کے شہر ڈئربورن میں کانگریس کی رکن رشیدہ طلیب نے کملا ہیرس کے مقابلے میں دو گنا ووٹ حاصل کیے، جس سے ظاہر ہوتا ہے کہ عرب اور مسلمان ووٹرز نے اپنے روایتی ڈیموکریٹک جھکاؤ کو چھوڑ کر متبادل امیدواروں یا ٹرمپ کی حمایت کی۔ ‎سی اے آئی آر کے مطابق انتخابات کے بعد امریکی مسلمان برادری نے ٹرمپ سے اپیل کی ہے کہ وہ اپنی مہم کے دوران کیے گئے وعدے پورے کریں اور غزہ میں جنگ کا خاتمہ کریں۔ مزید برآں تنظیم نے ہیرس کے انتخابی نتائج پر تنقید یہ کہتے ہوئے کی کہ ان کی پالیسیوں نے مسلم اور عرب کمیونٹیز میں مایوسی پیدا کی۔ ‎یہ نتائج امریکی سیاست میں ایک اہم تبدیلی کی نشاندہی کرتے ہیں، جس میں ڈیموکریٹس کو اپنے روایتی ووٹرز کی حمایت دوبارہ حاصل کرنے کے لیے نئے چیلنجز کا سامنا کرنا پڑے گا۔ دوسری جانب کونسل آن امریکن اسلامک ریلیشنز (سی اے آئی آر) نے اعلان کیا ہے کہ امریکن مسلم ووٹرز کے قومی ایگزٹ پول کی ریلیز کو مزید ڈیٹا اور تجزیات شامل کرنے کے لیے مؤخر کر دیا گیا ہے۔ ان کا کہنا ہے کہ اس فیصلے کا مقصد ریاستی اور دیگر اہم آبادیاتی خصوصیات کے لحاظ سے ووٹرز کی ترجیحات کا مزید گہرائی سے جائزہ لینا ہے۔ سی اے آئی آر نے اعلان کیا ہے کہ ایگزٹ پول کے نتائج کی ریلیز کے لیے نیا وقت اور تاریخ اس ہفتے کے دوران طے کیا جائے گی۔ گزشتہ جمعے کو سی اے آئی آر نے 2024ء کے صدارتی انتخاب کے لیے مسلم ووٹرز کی ترجیحات پر اپنی آخری سروے کے نتائج جاری کیے تھے۔  ڈیموکریٹک صدارتی امیدار کملا ہیرس کا کہنا ہے کہ ہمیں الیکشن کے نتائج تسلیم کرنے چاہئیں، الیکشن میں ہار مانتی ہوں۔ ان نتائج کے مطابق گرین پارٹی کی امیدوار جل اسٹائن کو 42 فیصد حمایت حاصل ہوئی، جبکہ نائب صدر کملا ہیرس کو 41 فیصد حمایت ملی، جو کہ ایک شماریاتی برابری ہے۔ یہ اعداد و شمار اگست کے آخر میں سی اے آئی آر کے سروے میں دونوں امیدواروں کو ملنے والی 29 فیصد حمایت کے قریب ہیں۔ یہ ڈیٹا مسلم کمیونٹی میں ووٹنگ کے رجحانات میں تنوع کو ظاہر کرتا ہے، جو انتخاب سے پہلے مختلف سیاسی جھکاؤ کی نشاندہی کرتا ہے۔,International
3,ایمسٹرڈیم: اسرائیلی فٹبال شائقین پر حملہ، 11 زخمی,https://jang.com.pk/news/1409038,   ایمسٹرڈیم میں ہونے والے یوروپا لیگ کے میچ کے دوران اسرائیلی فٹ بال شائقین پر حملہ ہوا ہے۔ اسرائیلی وزارت خارجہ کا کہنا ہے کہ مذکورہ حملے میں 11 اسرائیلی زخمی ہو گئے جبکہ 2 اسرائیلی فٹبال شائقین سے رابطہ نہیں ہو پا رہا۔ انہوں نے ہدایت جاری کرتے ہوئے کہا ہے کہ ایمسٹرڈیم میں موجود اسرائیلی شہری ہوٹلز تک محدود رہیں۔ وائٹ ہاؤس کے سامنے فلسطین کے حق میں ہونے والا احتجاج ختم ہو گیا۔ واضح رہے کہ ایمسٹرڈم میں ہونے والی یوروپا لیگ میں نیڈرلینڈز کے فٹبال کلب ایجیکس اور اسرائیلی فٹبال کلب تل ایوی کی ٹیم کے درمیان میچ کے بعد فلسطینی حامی مظاہرین اور اسرائیلی شائقین کے درمیان پرتشدد جھڑپیں ہوئی ہیں۔ میچ کے بعد ہنگامہ آرائی اس وقت شروع ہوئی جب ایمسٹرڈیم میں اسرائیلی فٹبال شائقین نے عرب مخالف اور غزہ کے بچوں کے خلاف نفرت انگیز نعرے بازی کی۔ عرب میڈیا کے مطابق اسرائیلی فٹبال شائقین نے فلسطینی پرچم کی بے حرمتی کی تو جھگڑا شروع ہوا۔ خیال رہے کہ ایمسٹرڈیم اسٹیڈیم میں فلسطینیوں کے حق میں مظاہرہ کرنے پر پابندی تھی۔ دریں اثناء اسپین میں سیلاب میں مرنے والوں کے لیے ایک منٹ کی خاموشی پر بھی اسرائیلی شائقین شور مچاتے رہے۔ یہاں یہ واضح رہے کہ اسپین نے چند ہفتے پہلے اسرائیل کو اسلحہ کی فروخت روک دی ہے، جس کے سبب اسرائیل اور اسپین میں غزہ جنگ پر کشیدگی ہے۔ ایمسٹرڈیم اسٹیڈیم میں خاموشی کے اعلان پر اسرائیلی شائقین نے عرب مخالف ترانے پڑھے۔ اسرائیلی شائقین نے ایمسٹرڈیم کے عرب ٹیکسی ڈرائیور کو تشدد کا نشانہ بھی بنایا۔ دوسری جانب ایمسٹرڈیم میں ہونے والے اس میچ میں نیڈرلینڈز کے فٹبال کلب نے اسرائیلی کلب کو 5 - 0 سے شکست دی۔,International
4,ڈونلڈ ٹرمپ نے سوزی وائلز کو وائٹ ہاؤس کی چیف آف اسٹاف مقرر کر دیا,https://jang.com.pk/news/1409026,نو منتخب امریکی صدر ڈونلڈ ٹرمپ نے سوزی وائلز  کو وائٹ ہاؤس کی چیف آف اسٹاف مقرر کر دیا۔ غیر ملکی میڈیا کے مطابق سوزی وائلز  ڈونلڈ ٹرمپ کی انتخابی مہم کی منیجر تھیں۔ 67 سالہ سوزی ویلز امریکی تاریخ میں اس عہدے پر فائز ہونے والی پہلی خاتون ہوں گی۔ امریکی جریدے فارن پالیسی میں سیاسی امور کے ماہرین نے ڈونلڈ ٹرمپ کی صدارتی انتخاب میں کامیابی کے بعد خارجہ پالیسی پر انتہا پسندوں کے غلبے کا خدشہ ظاہر کیا ہے۔ میڈیا کی رپورٹس کے مطابق سوزی وائلز مشہور فٹبال پلیئر اور اسپورٹس کاسٹر پیٹ سمرال کی بیٹی ہیں۔ انتخابات میں کامیابی کے 2 دن بعد ڈونلڈ ٹرمپ نے کہا کہ سوزی وائلز نے امریکی تاریخ کی سب سے بڑی سیاسی فتوحات میں سے ایک حاصل کرنے میں میری مدد کی، وہ میری 2016ء اور 2020ء دونوں کی کامیاب مہموں کا ایک لازمی حصہ تھیں۔ ڈونلڈ ٹرمپ نے کہا کہ سوزی وائلز مضبوط اور ہوشیار ہیں، ان کی عالمی سطح تعریف اور احترام کیا جاتا ہے۔ ,International
5,ڈونلڈ ٹرمپ کا روسی صدر پیوٹن سے بات کی خواہش کا اظہار,https://jang.com.pk/news/1408838,امریکا کے صدارتی انتخاب میں کامیابی حاصل کرنے والے ری پبلکن امیدوار ڈونلڈ ٹرمپ نے روسی صدر پیوٹن سے گفتگو کی خواہش کا اظہار کردیا۔ اپنے بیان میں نومنتخب امریکی صدر ڈونلڈ ٹرمپ نے کہا کہ الیکشن جیتنے کے بعد سے 70 عالمی رہنماؤں سے بات ہوئی ہے۔ پیوٹن کا کہنا تھا کہ بال امریکا کے کورٹ میں ہے، ٹرمپ کی جانب سے روس سے تعلقات بحالی کی خواہش پر توجہ دینی چاہیے۔ ان کا کہنا تھا کہ ابھی تک روسی صدر سے بات نہیں کی لیکن ان سے بات کرنے کا ارادہ ہے۔ دوسری جانب روسی صدر نے ڈونلڈ ٹرمپ کو صدارتی الیکشن جیتنے پر مبارک باد پیش کی ہے۔ صدر پیوٹن نے کہا کہ روس امریکا کے ساتھ تعلقات کی بحالی کے لیے تیار ہے، بال امریکا کے کورٹ میں ہے۔,International
6,روسی صدر پیوٹن کی ٹرمپ کو انتخاب میں کامیابی پر مبارکباد,https://jang.com.pk/news/1408810,روسی صدر ولادیمیر پیوٹن نے ڈونلڈ ٹرمپ کو صدارتی انتخاب میں کامیابی پر مبارکباد پیش کی ہے۔ اپنے بیان میں روسی صدر نے کہا کہ روس امریکا کے ساتھ تعلقات کی بحالی کے لیے تیار ہے۔ ولادیمیر پیوٹن نے کہا کہ انہیں امید ہے امریکا سمجھ لے گا کہ روس پر پابندیاں لگانے کی ضرورت نہیں اور ہماری سرحدوں پر تنازعات کے لیے اکسانے کا بھی فائدہ نہیں ہوگا۔ واشنگٹن ماسکو تعلقات کے بارے میں پیوٹن کا کہنا تھا کہ بال امریکا کے کورٹ میں ہے، ٹرمپ کی جانب سے روس سے تعلقات بحالی کی خواہش پر توجہ دینی چاہیے۔,International
7,دنیا کی کوئی طاقت آرٹیکل 370 دوبارہ نہیں لاسکتی، نریندر مودی,https://jang.com.pk/news/1408809,بھارت کے وزیراعظم نریندر مودی نے کہا ہے کہ  آرٹیکل 370 کی دیوار قبرستان میں گاڑھ دی، دنیا کی کوئی طاقت 370 دوبارہ نہیں لاسکتی۔ مقبوضہ کشمیر کی نئی اسمبلی کے اجلاس میں اراکین نے مطالبہ کیا تھا کہ علاقے کا خصوصی درجہ بحال کیا جائے، اگست 2019 میں بھارتی سرکار نے یکطرفہ اقدام سے مقبوضہ کشمیر کی حیثیت بدل دی تھی۔ نیشنل کانفرنس اور کانگریس اتحاد نے قرارداد منظور کرکے نئی دہلی سے مطالبہ کیا ہے کہ مقبوضہ کشمیر کی حیثیت بحال کی جائے۔ بی جے پی کے اراکین اسمبلی نے پی ڈی پی کی جانب سے پیش قراداد کی کاپیاں چھیننے کی کوشش کی، سارجنٹ آف آرمز نے ہنگامہ آرائی کرنیوالے بی جے پی اراکین کو باہر نکال دیا۔ بھارت کی سپریم کورٹ کے سبکدوش ہونے والے چیف جسٹس  نے بھی آرٹیکل تین سو ستر منسوخ ہونے کی توثیق کی تھی مگر ریاستی انتخابات کرانے کا بھی حکم دیا تھا۔,International
8,ٹرمپ کی کامیابی کے بعد خارجہ پالیسی پر انتہاپسندوں کے غلبے کا خدشہ ہے، امریکی جریدہ,https://jang.com.pk/news/1408799,امریکی جریدے فارن پالیسی  میں سیاسی امور کے ماہرین نے ڈونلڈ ٹرمپ  کی صدارتی انتخاب میں کامیابی کے بعد  خارجہ پالیسی پر انتہا پسندوں کے غلبے کا خدشہ ظاہر کیا ہے۔ امریکی جریدے میں شائع شدہ مضمون میں سیاسی امور کے ماہر نے لکھا کہ ٹرمپ کی پہلی مدت میں قومی سلامتی کےلیے کئی سیاسی تقرریاں  تین حصوں پر مشتمل تھی۔ جمہوریت میں ہمیشہ عوام کی رائے چلتی ہے، صرف جیت ہونے پر ہی ملک سے پیار کا اظہار نہیں کیا جاتا، جو بائیڈن سب سے بڑا حصہ  ماہرین، دوسرا تجربہ کار سینئر حکام جیسے مک ماسٹر اور جان بولٹن جبکہ تیسرا چھوٹا  مگر اثرورسوخ رکھنے والا گروپ  تھا۔ یہ گروپ ٹرمپ کی خواہشات کو کسی نتائج کی پرواہ کیے بغیر پورا کرنے کی کوشش کرتا تھا، یہ تیسرا گروپ ہی تھا جس نے افغانستان سے فوری طور پر نکلنے جیسے فیصلے جلدی میں لینے کی کوشش کی۔ ڈونلڈ ٹرمپ کی پوتی کائی کی جانب سے شیئر کی گئی تصویر میں ٹرمپ کی اہلیہ میلانیا موجود نہیں ہیں ٹرمپ کے دوسرے دور میں اس گروپ کا اثر و رسوخ پچھلے دور سے بھی زیادہ ہوگا اور موجودہ پالیسی سازی میں اس انتہاپسند گروپ کی بالادستی ہوگی۔ یہ دھڑا اعتدال پسند آوازوں  کو دبانے اور سویلین اور فوجی رینکس میں جن افرادکو ڈیپ اسٹیٹ کے نمائندوں کر طورپر دیکھتے ہیں  ان کو نکالنے کی کوشش کریں گے۔ یہ حکومتی مشنری کو ڈونلڈ ٹرمپ کے مخالفین اور ناقدین کیخلاف بھی استعما ل کرسکتے ہیں۔,International
9,اسرائیل نے امریکا سے 25 جنگی طیارے خریدنے کا معاہدہ کرلیا,https://jang.com.pk/news/1408783,اسرائیل نے امریکی کمپنی سے 25 ایف-15 طیاروں کی خریداری کیلئے 5 ارب ڈالر سے زائد کا معاہدہ کرلیا۔ اسرائیلی میڈیا کے مطابق اسرائیلی فوج نے 5.2 ارب ڈالر کے معاہدے کے تحت بوئنگ کمپنی سے 25 جدید ایف-15 جنگی طیارے خریدنے کا اعلان کیا ہے، جن کی فراہمی 2031 میں شروع ہوگی۔ اسرائیلی میڈیا کا کہنا ہے کہ  حزب اللّٰہ کے ساتھ اکتوبر 2023 سے جاری لڑائی میں یہ اسرائیلی فوج کا 62واں جانی نقصان ہے۔ معاہدے کے مطابق اسرائیل کو ہر سال 4 سے 6 طیارے فراہم کیے جائیں گے۔ اسرائیلی وزارت دفاع کا کہنا ہے کہ یہ طیارے زیادہ فاصلے اور وزن لے جانے کی صلاحیت رکھتے ہیں، جو اسرائیلی فضائیہ کو مشرق وسطیٰ میں موجودہ اور مستقبل کے چیلنجز کا سامنا کرنے میں مدد دے گی۔ اسرائیل نے حالیہ جنگ کے دوران بھی امریکا سے بڑے پیمانے پر اسلحہ حاصل کیا ہے۔,International
