"ID","Title","Link","Content","Gold Label"
"0","آئی سی سی نےچیمپئنز ٹرافی کے معاملے پر بورڈ میٹنگ بلالی، اہم فیصلے متوقع","https://urdu.geo.tv/latest/388148-","انٹرنیشنل کرکٹ کونسل نے پاکستان میں ہونے والی آئی سی سی چیمپئنز ٹرافی 2025 کے مستقبل پر غور کے لیے 29 نومبر کو بورڈ میٹنگ بلالی۔ آئی سی سی کے ترجمان نے تصدیق کی ہے کہ یہ میٹنگ آن لائن منعقد ہوگی اور تمام بورڈ ممبران کو ایجنڈا بھیج دیا گیا ہے۔ ذرائع کے مطابق میٹنگ کے دوران چیمپئنز ٹرافی کے شیڈولنگ اور مستقبل پر غور کیا جائے گا، اجلاس میں چیمپئنز ٹرافی پر مختلف آپشنز پر تبادلہ خیال کیا جائے گا۔ ان آپشنز میں چیمپئنز ٹرافی کا ہائبرڈ ماڈل، پاکستان سے مکمل منتقلی، یا ٹورنامنٹ کا التوا شامل ہیں۔ ذرائع نے مزید بتایا کہ بورڈ کی ترجیح چیمپئنز ٹرافی کے لیے ہائبرڈ ماڈل کو اپنانا ہے، تاہم پاکستان کرکٹ بورڈ پہلے ہی اس ماڈل کی مخالفت کرچکا ہے۔ ذرائع کا کہنا ہے کہ بورڈ اراکین کی رائے اور تجاویز کو مدنظر رکھتے ہوئے چیمپئنز ٹرافی کے پر آئی سی سی کوئی حتمی فیصلہ کرے گا۔   واضح رہے کہ بھارت پاکستان آکر ٹورنامنٹ کھیلنے سے انکار کر چکا ہے جبکہ دوسری جانب پاکستان کسی بھی ہائبرڈ ماڈل قبول نہ کرنے کے اپنے مؤقف پر قائم ہے۔ ادھر بھارتی ہٹ دھرمی کے باعث آئی سی سی تاحال شیڈول اعلان نہیں کر سکی ہے۔ آئی سی سی کو براڈ کاسٹرز کی جانب سے شیڈول کے جلد اعلان کے لیے دباؤ کا سامنا ہے اور براڈ کاسٹ رائٹس کے مطابق پاک بھارت میچ نہ ہونے پر انٹرنیشنل کرکٹ کونسل کو قانونی چارہ جوئی کا سامنا بھی کرنا پڑ سکتا ہے۔","sports"
"1","بھارتی ٹیم کے ہیڈ کوچ گوتم گمبھیر اچانک آسٹریلیا سے واپس وطن کیوں چلے گئے؟","https://urdu.geo.tv/latest/388090-","بھارتی کرکٹ ٹیم کے ہیڈ کوچ گوتم گمبھیر کو آسٹریلیا سے واپس وطن جانا پڑ گیا۔ بھارتی میڈیا کے مطابق ذاتی وجوہات کی بنیاد پر گوتم گمبھیر وطن واپس جا رہے ہیں، وہ دوسرے ٹیسٹ میچ سے قبل ٹیم کو جوائن کر لیں گے۔ بھارتی میڈیا رپورٹس میں ذرائع کے حوالے سے دعویٰ کیا گیا ہے کہ امکانات ہیں گوتم گمبھیر کی فیملی میں کسی کی طبیعت ناساز ہے جس کے باعث انہیں اچانک واپس اپنے ملک جانا پڑا۔ آسٹریلیا اور بھارت کے درمیان بورڈر گواسکر ٹرافی کا دوسرا پنک بال ٹیسٹ 6 دسمبر سے ایڈیلیڈ میں شروع ہو گا۔ واضح رہے کہ بھارت نے سیریز کے پہلے پرتھ ٹیسٹ میں میزبان آسٹریلیا کو 295 رنز سے شکست دی تھی۔ پیر کو بھارت نے پانچ ٹیسٹ میچز کی سیریز کے پہلے میچ میں آسٹریلیا کو 295 رنز سے شکست دی۔ بھارت نے آسٹریلیا کو جیت کے لیے 534 کا ٹارگٹ دیا تھا، بھارت نے دوسری اننگز  6 وکٹوں کے نقصان پر 487 رنزپر ڈیکلیئر کردی تھی ","sports"
"2","انگلینڈ نیوزی لینڈ سیریز کو کرو-تھارپ ٹرافی کانام دیدیا گیا، ٹرافی کی تیاری میں خاص کیا ہے؟","https://urdu.geo.tv/latest/388089-","انگلینڈ اور نیوزی لینڈ  کے درمیان  ہونے والی سیریز کو کرو-تھارپ ٹرافی کا نام دے دیا گیا۔ دونوں ٹیموں کے درمیان 3 ٹیسٹ میچز کی سیریز کا آغاز 28 نومبر سے کرائسٹ چرچ میں ہوگا جب کہ دوسرا ٹیسٹ 6 دسمبر اور تیسرا ٹیسٹ 14 دسمبر سے شروع ہوگا۔ سیریز کی ٹرافی کو انگلینڈ کے گراہم تھارپ اور  نیوزی لینڈ کے مارٹن کرو کے نام سے منسوب  کیا گیا، اس ٹرافی کو دونوں آنجہانی کرکٹرز کے بیٹ کی لکڑی سے بنایا گیا ہے۔   ٹرافی میں تھارپ کے نیوزی لینڈ کے خلاف اور مارٹن کرو کے انگلینڈ کے خلاف سنچری بنانے والے بیٹ استعمال ہوئے ہیں  جب کہ دونوں کھلاڑیوں کی فیملی نے ٹرافی بنانے کیلئے بیٹ کا عطیہ دیا تھا۔ واضح رہے کہ دونوں کھلاڑی اپنے عہد کے بہترین بیٹرز میں شمار ہوا کرتے تھے، گراہم تھارپ اس سال اور مارٹن کرو 2016 میں انتقال کرگئے تھے۔","sports"
"3","13 سالہ کرکٹر آئی پی ایل کا حصہ بننے والا کم عمر ترین کھلاڑی بن گیا","https://urdu.geo.tv/latest/388047-","13 سالہ بھارتی کرکٹر ویبھوو سوریاونشی انڈین پریمیئر لیگ ( آئی پی ایل) کا حصہ بننے  والے کم عمر ترین کھلاڑی بن گئے۔ انڈین پریمیئر لیگ( آئی پی ایل) سیزن 2025 کے لیے کھلاڑیوں کی بولی کی 2 روزہ تقریب گزشتہ روز سعودی عرب کے شہر جدہ میں شروع ہوئی جس میں فرنچائزز نے اپنی ٹیم میں شامل کرنے کے لیے بہترین کھلاڑیوں کو کروڑوں روپے میں خریدا۔ فرنچائزز نے جہاں بڑے ناموں کو اپنی ٹیم کا حصہ بنایا وہیں ایک 13 سالہ بھارتی کرکٹر ویبھوو سوریاونشی بھی پہلی  بار آئی پی ایل کا حصہ بن گئے۔ پیر کو سعودی عرب کے شہر جدہ میں ہونے والی آئی پی ایل کی میگا نیلامی میں راجستھان رائلز نے سوریاونشی کو  ایک کروڑ 10 لاکھ بھارتی روپے میں خریدا۔ جس کے بعد  سوریاونشی آئی پی ایل کی تاریخ میں کسی بھی ٹیم کی جانب سے خریدے جانے والے کم عمر ترین کھلاڑی بن گئے۔  دوسری جانب لکھنؤ سپر جائنٹس نے رشبھ پنت کو 27 کروڑ بھارتی روپے میں خریدا، جس کے بعد پنت نے آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی ہونے کا اعزاز حاصل کرلیا۔ واضح رہے کہ آئی پی ایل 2025 اس ٹورنامنٹ کا 18 واں ایڈیشن ہوگا جو اگلے سال مارچ سے مئی کے درمیان کھیلا جائے گا۔ ویبھوو 27 مارچ 2011 کو ریاست بہار کےگاؤں  تاجپور میں پیدا ہوئے۔ انہوں نے اپنے کرکٹ کا سفر صرف 4 سال کی عمر میں شروع کیا اور پھر 9  سال کی عمر میں ان کے والد نے انہیں قریبی قصبےکی ایک کرکٹ اکیڈمی میں داخل کروایا۔ ویبھوو نے جنوری 2024 میں صرف 13 سال کی عمر میں ریاست بہار کے لیے رانجی ٹرافی ایلیٹ گروپ بی کے مقابلے میں  ممبئی کے خلاف فرسٹ کلاس ڈیبیو کیا۔ ویبھوو سوریا ونشی نے یوتھ ٹیسٹ میں چنئی کے ایم اے چدمبرم اسٹیڈیم میں بھارت کی انڈر19 ٹیم کی نمائندگی کرتے ہوئے آسٹریلیا کی انڈر19 ٹیم کے خلاف شاندار سنچری بھی بنائی۔   نوجوان کھلاڑی نے 62 گیندوں پر 104 رنز کی شاندار اننگز کھیلی اور یوتھ ٹیسٹ فارمیٹ میں سنچری اسکور کرنے والے سب سے کم عمر کھلاڑی بن گئے۔ اس کے علاوہ سوریا ونشی یوتھ ٹیسٹ فارمیٹ میں دوسری تیز ترین سنچری بنانے والے کھلاڑی اور اس فارمیٹ میں سب سے تیز سنچری بنانے والے بھارتی کھلاڑی بھی ہیں۔","sports"
"4","زمبابوے کیخلاف دوسرے ون ڈے کیلئے پاکستان ٹیم کا اعلان، 2 کھلاڑی ڈیبیو کریں گے","https://urdu.geo.tv/latest/388043-","  پاکستان کرکٹ ٹیم کی منیجمنٹ نے زمبابوے کے خلاف دوسرے ون ڈے  کیلئے  پلیئنگ الیون کا اعلان کر دیا۔ پاکستان اور زمبابوے کے درمیان دوسرا ون ڈے انٹرنیشنل  کل بلاوائیو میں کھیلا جائے گا جس کے لیے قومی ٹیم میں 2 تبدیلیاں کی گئی ہیں۔ حسیب اللہ کی جگہ طیب طاہر اور محمد حسنین کی جگہ ابرار احمد کو ٹیم میں شامل کیا گیا ہے۔ ابرار احمد اور طیب طاہر پہلی مرتبہ پاکستان کی جانب سے ون ڈے انٹرنیشنل کھیلیں گے۔ زمبابوے کے خلاف دوسرے ون ڈے کے لیے پاکستان ٹیم میں صائم ایوب، عبداللہ شفیق، کامران غلام ، محمد رضوان، سلمان آغا، طیب طاہر، عرفان نیازی ، عامر جمال ، حارث روف،فیصل اکرم  اور ابرار احمد  شامل ہیں۔ واضح رہے کہ  بارش سے متاثرہ پہلےمیچ میں زمبابوے نے ڈک ورتھ لوئیس میتھڈ کے تحت 80 رنز سے کامیابی حاصل کرکےتین میچز کی سیریز میں ایک صفرکی برتری حاصل کی۔","sports"
"5","کرکٹ کی دنیا کے وہ بڑے نام جنہیں آئی پی ایل 2025 کیلئے کسی ٹیم نے نہیں خریدا","https://urdu.geo.tv/latest/388038-","انڈین پریمیئر لیگ( آئی پی ایل) سیزن 2025 کے لیے کھلاڑیوں کی بولی کی 2 روزہ تقریب گزشتہ روز سعودی عرب کے شہر جدہ میں شروع ہوئی جس میں فرنچائزز نے اپنی ٹیم میں شامل کرنے کے لیے بہترین کھلاڑیوں کو کروڑوں روپے میں خریدا۔ آئی پی ایل 2025 اس ٹورنامنٹ کا 18 واں ایڈیشن ہوگا جو اگلے سال مارچ سے مئی کے درمیان کھیلا جائے گا۔ اس ٹورنامنٹ کے لیے 10 فرنچائزز نے دنیا کے بہترین کھلاڑی اپنی ٹیم میں شامل کرنے کے لیے کروڑوں روپے خرچ کر دیے۔ اتوار کو پہلے پنجاب کنگز نے بھارتی کرکٹر شریاس ائیر کو 26 کروڑ 75 لاکھ بھارتی روپے میں خریدا جس کے بعد شریاس  آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی بنے۔ لیکن یہ ریکارڈ کچھ لمحوں بعد ہی ٹوٹ گیا جب لکھنؤ سپر جائنٹس نے بھارتی کرکٹر رشبھ پنت پر آئی پی آیل کی تاریخ کی سب سے بڑی بولی لگائی۔ لکھنؤ سپر جائنٹس نے رشبھ پنت کو 27 کروڑ بھارتی روپے میں خریدا، جس کے بعد پنت آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی بن گئے۔ اس سے قبل آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی کا اعزاز آسٹریلوی فاسٹ بولر مچل اسٹارک کے پاس تھا اس کے علاوہ آئی پی ایل 2025 کے تیسرے مہنگے ترین کھلاڑی بھارتی کرکٹر ونکٹیش ائیر رہے جنہیں کولکتہ نائٹ رائیڈرز نے 23 کروڑ 75 لاکھ بھارتی روپے میں اپنی ٹیم میں شامل کیا جبکہ بھارتی فاسٹ بولر ارشدیپ سنگھ اور اسپنر چہل کو 18، 18 کروڑ بھارتی روپے میں پنجاب کنگز نے خریدا۔ فرنچائزز نے جہاں کھلاڑیوں پر کروڑوں روپے خرچ کیے وہیں دنیائے کرکٹ کے کچھ ایسے بڑے نام بھی ہیں جنہیں آئی پی ایل 2025 کے لیے کسی ٹیم نے نہیں خریدا۔ وہ بڑے کرکٹرز جنہیں آئی پی ایل 2025 کی کسی ٹیم میں جگہ نہ ملی: آسٹریلیا کے ڈیوڈ وارنر، اسٹیو اسمتھ، نیوزی لینڈ کے کین ولیمسن، اففانستان کے مجیب الرحمان، بنگلادیش کے مستفیض الرحمان، نیوزی لینڈ کے ڈیرل مچل کو کسی ٹیم نے نہیں خریدا۔ اس کے علاوہ بھارت کے پرتھوی شاہ، ویسٹ انڈیز کے شائے ہوپ، آسٹریلیا کے وکٹ کیپر ایلکس کیری، انگلینڈ کے تجربہ کار اسپنر عادل رشید، جونی بیئر اسٹو اور جیمز اینڈرسن، زمبابوے کے سکند رضا کو بھی کسی فرنچائز نے خریدنے میں دلچسپی نہیں دکھائی۔","sports"
"6","پرتھ ٹیسٹ میں سنچری:کوہلی نے سر ڈون بریڈمین کو پیچھے چھوڑ دیا","https://urdu.geo.tv/latest/388021-","بھارتی کرکٹر ویرات کوہلی نے آسٹریلیا کے خلاف پرتھ میں اپنے ٹیسٹ کیریئر کی 30 ویں سنچری اسکور کی اور بھارت کی جیت میں اہم کردار ادا کیا۔ پیر کو بھارت نے پانچ ٹیسٹ میچز کی سیریز کے پہلے میچ میں آسٹریلیا کو 295 رنز سے شکست دی۔ پرتھ ٹیسٹ میچ میں بھارت نے آسٹریلیا کو جیت کے لیے 534 کا ٹارگٹ دیا تھا، بھارت نے دوسری اننگز  6 وکٹوں کے نقصان پر 487 رنزپر ڈیکلیئر کردی تھی۔ بھارت کی جانب سے اوپنر جیسوال نے شاندار 161 رنز بنائے جبکہ ویرات کوہلی نے ٹیسٹ کیریئر کی 30 ویں وسنچری اسکور کی اور 100 رنز کے ساتھ ناقابل شکست رہے۔ آسٹریلیا کی ٹیم دوسری اننگز میں 238 رنز بناکر آؤٹ ہو گئی اور یوں بھارت نے پہلا ٹیسٹ 295 رنز سے اپنے نام کیا۔   اس ٹیسٹ میچ میں شاندار سنچری بنانے والے کوہلی نے آسٹریلیا کے سابق لیجنڈری کرکٹر سر ڈون بریڈمین کو پیچھے چھوڑا۔ کوہلی سنچریوں کی تعداد میں اب بریڈمین سے آگے نکل گئے ہیں۔ سر ڈون بریڈمین نے52 ٹیسٹ میچز میں 29 سنچریاں اسکور کیں جبکہ کوہلی نے 119 ٹیسٹ میں 30 سنچریاں مکمل کرلی ہیں۔ واضح رہے کہ ٹیسٹ کرکٹ میں سب سے زیادہ سنچریاں بنانے کا ریکارڈ سابق بھارتی کرکٹر  سچن ٹنڈولکر کے پاس ہے،جنہوں نے 200 ٹیسٹ میچز میں 51 سنچریاں اسکور کیں۔","sports"
"7","رشبھ پنت آئی پی ایل کی تاریخ کے مہنگے ترین کھلاڑی بن گئے","https://urdu.geo.tv/latest/388019-","بھارتی کرکٹ ٹیم کے وکٹ کیپر بیٹر  رشبھ پنت  انڈین پریمیئر لیگ( آئی پی ایل) کی تاریخ کے مہنگے ترین کھلاڑی بن گئے۔ آئی پی ایل سیزن 2025 کے لیے کھلاڑیوں کی بولی کی 2 روزہ تقریب گزشتہ روز سعودی عرب کے شہر جدہ میں شروع ہوئی جس میں فرنچائزز نے اپنی ٹیم میں شامل کرنے کے لیے بہترین کھلاڑیوں کو کروڑوں روپے میں خریدا۔ اتوار کو پہلے پنجاب کنگز نے بھارتی کرکٹر شریاس ائیر کو 26 کروڑ 75 لاکھ بھارتی روپے میں خریدا جس کے بعد شریاس  آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی بنے۔ لیکن یہ ریکارڈ کچھ لمحوں بعد ہی ٹوٹ گیا جب لکھنؤ سپر جائنٹس نے بھارتی کرکٹر رشبھ پنت پر آئی پی آیل کی تاریخ کی سب سے بڑی بولی لگائی۔ لکھنؤ سپر جائنٹس نے رشبھ پنت کو 27 کروڑ بھارتی روپے میں خریدا، جس کے بعد پنت آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی بن گئے۔   اس سے قبل آئی پی ایل کی تاریخ کے سب سے مہنگے کھلاڑی کا اعزاز آسٹریلوی فاسٹ بولر مچل اسٹارک کے پاس تھا، جنہیں گزشتہ سیزن میں کولکتہ نائٹ رائیڈرز نے  24 کروڑ 75 لاکھ بھارتی روپے میں خریدا تھا۔ اس کے علاوہ آئی پی ایل 2025 کے تیسرے مہنگے ترین کھلاڑی بھارتی کرکٹر ونکٹیش ائیر رہے جنہیں کولکتہ نائٹ رائیڈرز نے 23 کروڑ 75 لاکھ بھارتی روپے میں اپنی ٹیم میں شامل کیا۔ علاوہ ازیں بھارتی فاسٹ بولر ارشدیپ سنگھ اور اسپنر چہل کو 18، 18 کروڑ بھارتی روپے میں پنجاب کنگز نے خریدا۔ یاد رہے کہ آئی پی ایل 2025 اس ٹورنامنٹ کا 18 واں ایڈیشن ہوگا جو اگلے سال مارچ سے مئی کے درمیان کھیلا جائے گا۔","sports"
"8","پرتھ ٹیسٹ میں بھارت نے آسٹریلیا کو 295 رنز سے شکست دیدی","https://urdu.geo.tv/latest/387994-","پرتھ ٹیسٹ میں بھارت نے آسٹریلیا کو شکست دے دی ہے۔ بھارت نے پانچ ٹیسٹ میچز کی سیریز کے پہلے میچ میں آسٹریلیا کو 295 رنز سے شکست دی، آسٹریلیا کی ٹیم دوسری اننگز میں 238 رنز بناکر آؤٹ ہو گئی۔ آسٹریلیا کے ٹریوس ہیڈ 89 رنز کے ساتھ نمایاں رہے، مچل مارش 47 اور اسٹارک 12 رنز بناکر آؤٹ ہوئے۔ آخری مرتبہ 100 سنچریوں کا سنگ میل سری لنکا کے کمار سنگاکارا نے 2020 میں عبور کیا تھا پرتھ ٹیسٹ میچ میں بھارت نے آسٹریلیا کو جیت کے لیے 534 کا ٹارگٹ دیا تھا، بھارت نے دوسری اننگز  6 وکٹوں کے نقصان پر 487 رنزپر ڈیکلیئر کردی تھی۔ بھارت کے جسپریت بمراہ اور محمد سراج نے 3، 3 وکٹیں حاصل کیں، جب کہ میچ میں بمراہ نے مجموعی طور پر آٹھ وکٹیں حاصل کیں۔ واضح رہے کہ پہلی اننگز میں بھارتی ٹیم 150 رنز بنا کر آؤٹ ہو گئی تھی، بھارت نے آسٹریلیا کو پہلی اننگز میں 104 رنز پر آل آؤٹ کر دیا تھا۔ بھارت کو آسٹریلیا کے خلاف ٹیسٹ سیریز میں ایک صفر کی برتری حاصل ہوگئی۔","sports"
"9","ورلڈکپ کوالیفائر: ٹی ٹوئنٹی کرکٹ میں انوکھا ریکارڈ، پوری ٹیم صرف 7 رنز پر ڈھیر ہوگئی","https://urdu.geo.tv/latest/387979-","آئی سی سی انٹرنیشنل ٹی ٹوئنٹی ورلڈکپ کوالیفائر میں نائیجیریا نے آئیوری کوسٹ کو 264 رنز سے بڑی شکست دے دی۔ سب ریجنل افریقا کوالیفائر کا پانچواں میچ گروپ سی کی ٹیموں نائیجیریا اور آئیوری کوسٹ کے درمیان نائیجیرین شہر لاگوس میں کھیلا گیا جہاں نائیجیریا نے ٹاس جیت کر پہلے بیٹنگ کا فیصلہ کیا۔ تاہم لاگوس میں کھیلے جانے والے ٹی ٹوئنٹی انٹرنیشنل میں کسی بھی ٹیم نے سب سےکم اسکور کا نیا ریکارڈ بنا ڈالا۔ نائیجیریا کے خلاف آئیوری کوسٹ کی ٹیم صرف 7 رن بنا کر آؤٹ ہوگئی اور آئیوری کوسٹ کے 7 بیٹرز ایک بھی رن نہ بنا سکے۔ نائیجیریا نے مقررہ 20 اوورز میں 4 وکٹ پر 271 رنز بنائے تھے جس میں سلیم 112 رنز بناکر نمایاں رہے۔ جواب میں آئیوری کوسٹ کی پوری ٹیم آٹھویں اوور میں محض 7 رنز پر ڈھیر ہوگئی۔ واضح رہے کہ آئیوری کوسٹ مغربی افریقا کا ایک ملک ہے۔","sports"
